id|name|district_id|population|voting_population|total_votes|average_democrat_votes|geometry|state_id|neighbors
3100117W|Voting District 4D|NE03|2687|2232|668.0|0.388153|"{""type"": ""Polygon"", ""coordinates"": [[[-98.35306399999999, 40.597166], [-98.34880299999999, 40.597153], [-98.348804, 40.597018], [-98.34838099999999, 40.597013], [-98.34804899999999, 40.596722], [-98.357576, 40.587182999999996], [-98.359116, 40.586152], [-98.35998099999999, 40.585667], [-98.361769, 40.58513], [-98.361935, 40.585397], [-98.359481, 40.586222], [-98.363002, 40.586211], [-98.36315499999999, 40.585958999999995], [-98.363148, 40.584990999999995], [-98.36418499999999, 40.584975], [-98.364451, 40.585257], [-98.373949, 40.585263], [-98.3737, 40.602444], [-98.368883, 40.60245], [-98.36890199999999, 40.600724], [-98.364143, 40.600677999999995], [-98.364204, 40.600226], [-98.361693, 40.600266], [-98.361795, 40.597069], [-98.35462299999999, 40.597044], [-98.354655, 40.598046], [-98.35345099999999, 40.598022], [-98.35313, 40.598486], [-98.35245599999999, 40.598461], [-98.35306399999999, 40.597166]], [[-98.355536, 40.589551], [-98.359269, 40.589628999999995], [-98.359303, 40.586417999999995], [-98.357163, 40.587942], [-98.355536, 40.589551]]]}"|NE|3100115W,310016P,310013W,3100116W
3100116W|Voting District 4C|NE03|958|770|274.0|0.447421|"{""type"": ""Polygon"", ""coordinates"": [[[-98.378321, 40.592597999999995], [-98.37828499999999, 40.594815], [-98.37807, 40.595676], [-98.376547, 40.59581], [-98.3738, 40.595400000000005], [-98.37396, 40.585017], [-98.37871299999999, 40.585074], [-98.378638, 40.589856999999995], [-98.37835899999999, 40.589856], [-98.378321, 40.592597999999995]]]}"|NE|3100115W,310011W,310013W,3100114W,3100117W
310013W|Voting District 1C|NE03|1651|1374|355.0|0.455992|"{""type"": ""Polygon"", ""coordinates"": [[[-98.364772, 40.570448], [-98.36971, 40.57309], [-98.36970199999999, 40.569765], [-98.37387, 40.569851], [-98.373826, 40.567017], [-98.378329, 40.567079], [-98.37814999999999, 40.575309999999995], [-98.378526, 40.575327], [-98.378731, 40.578643], [-98.37871299999999, 40.585074], [-98.37396, 40.585017], [-98.373949, 40.585263], [-98.364451, 40.585257], [-98.36418499999999, 40.584975], [-98.363148, 40.584990999999995], [-98.36313, 40.582623999999996], [-98.357992, 40.582643], [-98.358037, 40.579738], [-98.364205, 40.57975], [-98.364119, 40.570107], [-98.364772, 40.570448]]]}"|NE|310016P,310011W,3100114W,3100116W,3100117W
310011P|Kenesaw Precinct|NE03|1155|833|466.0|0.287122|"{""type"": ""Polygon"", ""coordinates"": [[[-98.683711, 40.698890999999996], [-98.66712899999999, 40.698741], [-98.62660699999999, 40.698733999999995], [-98.626154, 40.698885], [-98.62527299999999, 40.698747999999995], [-98.609961, 40.698741999999996], [-98.610084, 40.696897], [-98.610113, 40.685382], [-98.610095, 40.615589], [-98.61022299999999, 40.614719], [-98.610087, 40.610436], [-98.61010999999999, 40.524240999999996], [-98.724032, 40.524221999999995], [-98.724088, 40.596942999999996], [-98.724412, 40.698890999999996], [-98.71180799999999, 40.698961], [-98.68645099999999, 40.698614], [-98.68591599999999, 40.698854], [-98.683711, 40.698890999999996]]]}"|NE|310993P,310012P,3107941P,310197P,310017P,310018P,310995P,310996P,310013P
310012P|Verona Precinct|NE03|241|193|102.0|0.23368|"{""type"": ""Polygon"", ""coordinates"": [[[-98.49709399999999, 40.626114], [-98.49712099999999, 40.611596], [-98.61009899999999, 40.611303], [-98.61022299999999, 40.614719], [-98.610095, 40.615589], [-98.61002599999999, 40.698696], [-98.604923, 40.698819], [-98.496753, 40.698594], [-98.49709399999999, 40.626114]]]}"|NE|310011P,310014P,3107941P,310013P,310015P
310017P|Holstein Precinct|NE03|383|283|145.0|0.291086|"{""type"": ""Polygon"", ""coordinates"": [[[-98.723948, 40.350390999999995], [-98.724058, 40.353243], [-98.72412, 40.487961], [-98.724021, 40.499617], [-98.72387499999999, 40.50179], [-98.724042, 40.503524], [-98.724032, 40.524221999999995], [-98.61010999999999, 40.524240999999996], [-98.610322, 40.422610999999996], [-98.610074, 40.394359], [-98.61023499999999, 40.393893999999996], [-98.610204, 40.372156], [-98.61044, 40.367830999999995], [-98.61030199999999, 40.366596], [-98.61025599999999, 40.350370999999996], [-98.63063299999999, 40.350248], [-98.723948, 40.350390999999995]]]}"|NE|310011P,311811P,3109912P,310018P,310995P,310996P,310013P
310012W|Voting District 1B|NE03|1959|1426|436.0|0.434327|"{""type"": ""Polygon"", ""coordinates"": [[[-98.403189, 40.574703], [-98.403195, 40.575247], [-98.411276, 40.575291], [-98.41118, 40.582609], [-98.412753, 40.582603], [-98.401682, 40.583206], [-98.40141899999999, 40.583462999999995], [-98.389941, 40.583905], [-98.39002699999999, 40.56612], [-98.39134399999999, 40.566125], [-98.39134999999999, 40.565411999999995], [-98.392029, 40.565456], [-98.3921, 40.561367], [-98.393378, 40.561367], [-98.393362, 40.562053999999996], [-98.39588499999999, 40.562064], [-98.39581799999999, 40.564364], [-98.402209, 40.564367], [-98.40220699999999, 40.564181], [-98.404596, 40.564181], [-98.404685, 40.567304], [-98.412053, 40.567352], [-98.411768, 40.567986], [-98.41130799999999, 40.568090999999995], [-98.41022799999999, 40.570884], [-98.40944999999999, 40.572235], [-98.409093, 40.572465], [-98.40713799999999, 40.572446], [-98.406874, 40.573001999999995], [-98.406019, 40.573485], [-98.403177, 40.573586], [-98.403189, 40.574703]]]}"|NE|310015P,310011W,310015W,3100111W,310019W,3100110W
310013P|Juniata Precinct|NE03|999|737|382.0|0.333726|"{""type"": ""Polygon"", ""coordinates"": [[[-98.610085, 40.54504], [-98.61009899999999, 40.611303], [-98.49712099999999, 40.611596], [-98.49686, 40.524491], [-98.61010999999999, 40.524240999999996], [-98.610085, 40.54504]]]}"|NE|310011P,310014P,310012P,310017P,310019P,310018P,310015P
310018P|Roseland Precinct|NE03|520|391|208.0|0.322591|"{""type"": ""Polygon"", ""coordinates"": [[[-98.513503, 40.35037], [-98.61025599999999, 40.350370999999996], [-98.61030199999999, 40.366596], [-98.61044, 40.367830999999995], [-98.610204, 40.372156], [-98.61023499999999, 40.393893999999996], [-98.610074, 40.394359], [-98.610322, 40.422610999999996], [-98.61010999999999, 40.524240999999996], [-98.49686, 40.524491], [-98.49655299999999, 40.458385], [-98.496461, 40.350412999999996], [-98.513503, 40.35037]]]}"|NE|310011P,311811P,311812P,310017P,310019P,310013P,310015P
310016W|Voting District 2B|NE03|1635|1157|663.0|0.335282|"{""type"": ""Polygon"", ""coordinates"": [[[-98.467486, 40.597273], [-98.467506, 40.598135], [-98.466707, 40.598146], [-98.466691, 40.599165], [-98.466504, 40.599177], [-98.46645799999999, 40.599945], [-98.465329, 40.600083], [-98.46530899999999, 40.604400999999996], [-98.458742, 40.604397], [-98.45866199999999, 40.59867], [-98.457349, 40.598631], [-98.457336, 40.597826], [-98.45156899999999, 40.59791], [-98.451562, 40.598600999999995], [-98.448852, 40.598591], [-98.448892, 40.598397], [-98.446615, 40.598397], [-98.44657699999999, 40.597679], [-98.44031199999999, 40.597685999999996], [-98.44032299999999, 40.601152], [-98.44138699999999, 40.601141999999996], [-98.441932, 40.601375999999995], [-98.441932, 40.602312999999995], [-98.439661, 40.602295999999996], [-98.43965399999999, 40.604202], [-98.430019, 40.604219], [-98.43004099999999, 40.603449999999995], [-98.43887099999999, 40.597162999999995], [-98.433347, 40.597075], [-98.43035599999999, 40.599551], [-98.430354, 40.597013], [-98.420616, 40.596990999999996], [-98.42069699999999, 40.589704], [-98.43799399999999, 40.589721], [-98.439257, 40.591015999999996], [-98.43968199999999, 40.591902999999995], [-98.43972, 40.592973], [-98.43989499999999, 40.592925], [-98.439765, 40.596975], [-98.45881399999999, 40.597013], [-98.458811, 40.596505], [-98.46373, 40.596478999999995], [-98.463764, 40.597113], [-98.464952, 40.597105], [-98.464878, 40.596306], [-98.466798, 40.596289999999996], [-98.466819, 40.597094], [-98.467286, 40.597089], [-98.467286, 40.59724], [-98.467486, 40.597273]]]}"|NE|310018W,310015P,310012E,310017W
